,Eigen-Patient
TMEM170B,24062.197265626648
VSTM4,-202627.1356263443
RILP,-52136.49072441036
PPP1R16B,-367451.4003100213
LDLRAD2,-47388.65186704828
TIE1,-236175.99257950528
EVC2,-60550.124228669396
BCL6,-157550.8009034776
CAB39L,187305.27451144502
WLS,-265442.5943568424
FAXDC2,-2909.1727628727176
CYGB,-147270.22204108685
PPP2R1B,-31251.97617346886
AL163636.6,61627.36817556792
TMOD1,-66605.98665521313
PPP1R15A,-525493.9304866372
MYCBP2,-740775.011664304
SMAD9,-47545.41773758444
SHROOM4,-95321.46757435663
ZNF502,-26820.181572547586
PDP2,16423.682514340995
PPARA,-180051.65641643602
ECHDC3,35196.37275143613
PVRL3,-44733.454126492754
MMP28,-42689.60645204323
CACNA2D1,-101276.5712811491
RND3,-502290.21286590456
C1QTNF1,-417276.00398903474
FBLN5,-657358.5401368754
PRICKLE2,-80412.264146357
ARHGAP31,-590205.8435290579
RGS2,-471025.0224974612
FAM43A,-83718.55734835357
F8,-18735.83954395405
CYP26B1,-79429.0017186715
CCDC82,-176846.4181165416
PDGFA,-66319.15542518713
ZNF677,-49671.43046621289
IFFO2,-181884.2456436584
TCP11L2,4570.152761115997
JAM3,-236141.81023799285
GAS1,-510254.0242357945
SYNPO2,-134986.3712680556
ATF3,-671808.8124020378
KLHL3,-33982.46316873372
GPM6B,-176690.90449639907
SCRN2,16733.13216273286
STON1,-146494.6788062818
ACKR3,50645.0324203327
TFPI,-247688.3786346811
FLI1,-432556.9176876017
CLIC2,-314250.2834058893
ARHGEF28,43343.4137202843
SERPINF1,-3170183.859476616
SGK1,-924173.6912984734
FGD4,-49211.49665463248
MFAP5,-839830.569856321
RNASE4,242554.61846930333
FGF7,-287138.17882716906
SKAP2,-297765.2508536429
ACADS,62604.35241782617
PCCA,-9315.138420212066
NFAT5,-139455.84764108175
RHOU,-122770.60900367156
TIPARP,-23307.288443263627
FILIP1L,-581569.1955066094
KDR,-244694.3119285239
ADIRF,737716.2497992828
HADH,194245.1355420218
CFH,-1224250.7597088413
BOC,-353303.7835335774
RASGRF2,-205929.72888105357
PTCH1,-67819.5026769985
CARD6,-174629.78207036774
PKDCC,-64531.22458217482
NEDD9,-393511.00381187914
RCAN1,-618647.6091033125
FSTL1,-6027401.418992199
MOB3B,-237872.8426738051
PRELP,-1005132.3260519184
ZC3H12C,-83498.73661494454
NRP1,-1284054.658433402
GIMAP7,-346863.64359615406
FAM69A,-77916.84853783443
ABLIM3,351809.1919365087
KLF8,-47191.32981366825
XG,-80000.90472664645
KIAA1683,-1211.4780753655868
IL17RD,-112741.74315099539
RIMS3,-54912.74105098398
BACH2,-122476.89522134548
EMILIN2,-407752.05048594676
RBPMS,-117268.57700960453
COX7A1,-22196.061150828114
PPL,-278516.9477756578
IGJ,-5207556.74119381
OLFML2A,39444.852772681596
PRX,749.2516820465141
COL14A1,-2099117.6863615154
MEST,-21172.573103336068
FEZ1,-60996.00949603444
ABCA1,-470284.57687095215
ECHDC1,-168674.89200651785
DHRS3,-178159.07091773392
GIMAP5,-485414.894595036
LYSMD4,-26948.466712163186
DNAH1,-57048.360705829335
DKK3,-459770.8510342568
ARID5A,-307851.2040845023
PECR,37939.603167395086
DMTN,53110.636913817456
ANGPTL4,-181142.4865554228
PCDHGA6,-16704.02665158839
ADAMTSL4,-168173.7186450979
FLT1,-147758.18759418817
CFL2,-51360.97943433087
MRVI1,-194514.92580493583
RNASE1,-1511570.2939152103
EPS8,44390.485310599324
TAGLN,-4012832.1248129504
DPYD,-581770.9762158226
KIAA1614,-30406.057644011704
MXI1,111837.66648180105
ARHGEF6,-7809.7048455254635
PLTP,-1315479.467977661
TUBB6,-812304.0124119635
APBB1IP,-412916.40128110105
ABHD6,-20104.910364732536
BST1,-70415.99239644378
F3,-198188.74027651845
DDX26B,-132043.8188190844
ACSL4,-710169.7635487713
NR5A2,-28247.681219540264
MBNL2,-237396.7933972589
SGCB,26282.341523152594
MAGI1,312552.0194567219
PYCR1,194566.09982403618
KPNA5,-25658.577725445557
FHOD3,-95832.30378156372
SOCS3,-1131304.576404241
EFNB1,-163612.9951398686
GNG7,-46418.71780679528
HSD17B6,-25470.025906186347
POC1A,18301.6693528143
MT-ND5,3245906.3834890067
NR4A1,-886559.7652352069
MITF,-167619.20984847363
RPS6KA2,-306844.25155761774
MT-ND1,5969396.097836764
EPHA2,-195712.58613452446
ZNF662,-2290.9682958321882
ATP2B4,-765663.4013459141
TNS4,-79597.02320213016
RBMS1,-748593.2378433743
CC2D2A,23339.780120659776
SPC25,17826.77989289028
PGM1,-366602.35734941723
RFX2,1068.1394617243127
STXBP1,162619.66196024904
TMOD2,-35054.54395080821
ACCS,-44009.17456349716
MT-ND6,-185932.86531851534
EPB41L4B,40050.01133567199
NAV2,31065.911827034655
KIAA0101,76007.69331012314
PKMYT1,52520.456539279934
GSPT2,-54933.62502635393
PLA2G16,255495.8699670908
RASA3,-452923.44881782937
SOX12,237163.4806612025
FAM83H,812666.9673831668
MEF2C,-406546.3777206465
PDE1A,-53585.27446772372
NLRP1,-337327.75918834226
PDGFRL,-382857.3067879003
KALRN,-17910.388247449417
OSBPL1A,150319.20936483092
C16orf59,31191.400046878844
PELI1,-304665.438549391
SPG20,-149536.42404701794
MID1,-217529.68780154304
NUSAP1,155666.14489356527
CPXM2,-500833.1192104913
EHHADH,-18873.713769625112
WISP2,-522291.7682070515
PDLIM4,-135642.57391479542
SH3BP5,-301817.0725479676
SLC25A25,-4692.244091749582
PXDC1,-334220.79889708664
TACC3,-67706.73390672528
RASD1,-125638.16540208494
C1orf115,92417.28421008126
SIRPA,-1318997.0113174557
MECOM,-150284.7468402885
ID4,-205088.9697198974
TPRN,148602.42499059052
B4GALT6,-2975.679878558764
NT5E,-334378.0512633255
CTNNAL1,-48996.67576207638
LAMB3,-930618.4625904203
CCNB1,133887.10722483232
NEK2,94446.61337340527
ZFPM2,-91027.9536890192
C1QTNF6,-483301.70771277434
PC,74199.62521088183
TRIM59,-103963.80318245095
RRAS2,-92471.07146753199
OGN,-360943.21973659686
GULP1,-103723.1354955141
SEMA5A,-111415.61314906883
NUAK2,-13442.738075096826
KIF4A,83027.9807016224
LIMCH1,-213098.22622788546
CTHRC1,-1272907.185799366
TM4SF18,-109877.8361043801
RPS6KA3,-648301.7901217944
SLC12A6,-94684.91200035006
SNCG,-24751.6801374269
IRS2,202491.54191999233
SLC50A1,364243.7291299721
CDC25C,30242.692853604207
RAD51,15369.93955494797
LMNB1,45195.16843596776
HMMR,42841.530465855474
BGN,-8785048.523432244
GFOD1,-117961.89613643946
RAMP2,2285.5440347499007
CD93,-1055360.4071397607
COBLL1,-27378.622240033594
ESRP1,739229.6572444339
TIMELESS,316032.0643241308
CENPM,12202.117754480209
LDHD,43898.801656134645
KIF11,141592.04104969557
KIAA0754,-54748.992073397494
MT-ND2,10174765.99649274
THSD7A,-58903.414723018126
TMEM133,-25940.30670470084
BUB1B,58546.62085500945
SLC52A2,30296.44284782031
LTBP2,-2020494.1122907242
AMT,-4989.220481548708
PLCH2,-16314.407201546566
TCN2,-427625.3810691161
CCDC64,170939.25685831084
EVA1C,-141622.83927259035
TJP3,284005.2246951767
REV3L,-91759.83064850754
KIF20A,27703.72833269943
PRR19,7296.606286262639
LLGL2,521334.4636304387
ZWINT,206021.47918437442
GDPD5,-98456.48926252729
PTPRS,-124948.63636608055
OIP5,3868.1632913080034
FAM89A,11103.469734025648
SYT15,-98086.03758106063
KIF26A,-25462.63036459283
CFI,-352521.8583723117
ADRA2A,-55653.51610956193
MFNG,-230027.19177219522
GOLGA8A,-156958.96035785694
P4HA3,-111717.84275588449
ZEB1,-423953.95596069476
H2AFX,-38494.32872171921
NOV,-118044.50293047106
RGPD8,-7565.043652728583
MCTP1,-208665.9481968961
INHBA,-766806.8832896834
SPC24,550.9432864166047
ADCK3,-37166.386655532115
UBE2T,85774.92231105486
ASF1B,54143.10611845034
RACGAP1,227264.59162962248
MIF,395377.5629214562
MEIS1,-61272.19392599029
CLIP3,-105227.65209197938
NUP210,700622.8221638071
TTC23,-73188.70594604383
KLF7,-230683.03736702667
TRIM29,-737515.3697387176
MGST1,143146.90796522796
FOXA1,4379376.118009796
PHLDB2,-74407.90186625942
KIF23,53119.79374453447
PYCRL,158400.05360884726
TSPYL2,-72107.43822429687
GPRC5B,-444898.8370513407
CHD9,-105383.32515950389
THBD,-192099.0726639924
ZNF471,2313.8848693602563
FBXL6,24678.65655646171
MICAL3,-148222.9727433348
ARHGAP39,172951.84614617465
ETV1,-130562.45582704572
CKAP2L,23381.079582933868
RNF217,-161356.58961105868
MT-ND3,1148588.651878669
PCNA,220551.1181520415
GALE,65380.58160606327
RNF157,122594.21965364045
SLC1A3,-460086.53831412416
UNC5B,-328875.92717844585
PCDHGC3,-412996.50193566823
DAB2,-1160763.4606493295
ESPL1,92131.63412843038
FKBP4,4874796.223189888
GAS7,-801568.2146289409
FLVCR1,184195.2870037381
FRMD4A,-264745.9846005656
LPAR1,-170849.49264477813
CKS2,11010.153310128386
SESN1,-54862.26576748421
PAQR4,130999.32158695569
PPM1L,-4890.95655244525
AKAP7,-41109.26396314798
IQGAP3,60303.31357964136
VIPR1,72364.25892535191
ANXA3,-313296.0825955386
PDGFRA,-1037614.8102980361
ARHGAP26,-308406.09735797957
MICAL2,-442050.54824510444
PTTG1,-50469.58700015845
CIT,101563.92009652036
C3orf80,-57555.066032021336
LAGE3,-29779.2702350713
BOLA2,2386.74085908942
CDKN2C,-66385.63583580527
NEXN,-170236.0210961802
LEPREL1,-111140.42610126048
HJURP,-5617.805335143364
IGSF9,83172.1256221944
HGF,-100901.39514833977
GSTM2,150978.18599033402
AGPAT9,-37689.41078369007
CTXN1,91640.80069882586
BHLHE41,-439065.18697828555
NCAPH,19168.620230889446
CASC5,28397.566931037152
ERCC6L,3977.420456517695
TRIB3,119016.46986805918
SDF2L1,-14636.999141883849
PLK1,22061.778284988068
MBOAT7,535306.5315370108
ECT2,250189.10212972932
PODN,-897933.8727528289
ALS2CL,-100329.02281731172
TROAP,34420.489884995455
RCAN2,-140692.51509826127
SBK1,260210.83577186582
GINS1,46685.16853878596
NVL,121914.30867241859
PCDHGB6,-32489.228449648348
FZD7,-221246.99291587799
CTD-3193O13.9,455908.3703398273
TUFT1,238703.22059131996
ITGA9,-169437.29270648884
FEN1,88707.2512861243
MLF1IP,195920.03853135172
MTHFD2,-8970.70796039121
PBK,66964.30748272125
DTL,231519.12125308835
PER3,115921.62213356959
MSX1,-10894.649352191413
PIK3R2,-94887.0126231499
KIFC1,15190.142309180452
HSDL2,322706.0506876959
CENPF,205074.2738441351
ALPK3,-51024.8463577658
CLCN2,34825.71670352813
KIF24,33787.959335773805
MAP3K5,-207627.91709568474
NCAPG,44994.2008278632
NCALD,-140636.4874647968
C1orf213,-9727.759983480022
C1R,-5002500.399787466
RECQL4,98331.26779921351
PCDH17,-62133.3495349632
DAPK2,14047.531541740314
FGL2,-1147927.4856388834
UBE2S,27361.76101286098
PTPRG,-184725.7677050724
RBBP8NL,47772.57547773694
COPZ2,-169592.22659189446
TMEM206,-5233.814762446184
S100A4,-1319675.1424276722
PROCR,-76829.7846955158
ARHGAP6,-38957.507008574335
CEP55,-35016.8983722509
TLR3,-115513.71180651904
ANKRD65,-65250.984597174975
PLEKHA4,-209698.85726690767
FAM195A,87295.51762891524
HAGHL,54315.68095218544
